#NAME	subject1	subject2	subject3	subject4	subject5	subject6	subject7	subject8	subject9	subject10	subject11	subject12	subject13	subject14	subject15	subject16	subject17	subject18	subject19	subject20
K00032	9	223	76	134	4	77	112	23	40	0	0	0	0	3	0	1	1	0	0	1
K00033	26	29	1	85	202	7	603	27	14	151	0	0	2	4	0	2	2	1	0	1
K00034	212	108	0	17	0	124	7	0	6	84	1	0	0	1	0	0	1	0	2	0
K00035	0	12	1	0	3	16	1	56	18	16	1	2	0	1	1	0	5	0	14	0
K00036	58	1444	1848	870	978	76	953	131	320	3623	0	1	0	1	5	0	0	0	4	1
K00037	6	3	6	0	0	11	0	1	2	4	1	5	12	28	36	120	2	64	4	11
K00038	0	2	0	0	0	0	0	0	0	3	124	263	5	21	45	22	43	2	50	300
K00039	0	0	0	0	0	0	0	3	0	10	29	0	32	5	99	5	14	3	0	7
K00040	1	4	5	2	1	0	8	0	0	1	18	0	2	0	3	2	10	87	1	1
K00041	8	0	0	2	0	0	0	1	10	1	285	24	318	1338	80	564	1244	3069	415	1114
K00042	1	0	4	0	0	0	0	0	7	0	2	10	1	1	0	0	0	2	0	4
K00043	4205	516	11687	1924	1740	6172	2484	876	11803	4646	2	1	0	4	5	0	0	4	0	1
K00044	54512	7007	20828	62206	38908	89728	112696	11347	55550	163418	0	28	3	4	10	10	0	2	0	3
K00045	3440	1547	2971	4576	4059	3696	2284	3224	4746	3148	1	0	4	1	3	1	0	3	1	1
K00048	16630	8969	5706	6130	7803	10399	17534	5918	8978	10679	1	2	13	0	0	6	0	1	0	1
K00049	0	1	0	2	0	6	0	1	7	0	0	1	1	0	1	0	0	0	17	3
K00050	0	2	7	3	11	3	2	0	0	0	4051	4608	7127	8394	1820	3050	139	1698	2339	11919
K00051	0	0	0	0	6	1	0	15	12	0	23717	63087	42779	57799	58949	43303	30392	62148	45296	26844
K00052	0	4	2	0	0	0	9	15	0	0	2704	2665	616	5373	569	3820	2710	4046	6051	2028
K00053	0	11	8	0	24	8	0	0	1	1	12960	6861	63	14007	5488	9046	25684	8658	7418	2504
K00054	7430	697	11748	19202	5469	30427	1213	15506	19051	24589	5036	11115	19413	16310	12283	34066	7918	15488	31022	17379
K00055	398	28	370	4	169	89	92	59	163	22	34	223	66	21	105	240	121	17	49	348
K00057	20006	28254	5258	27528	10805	31104	49379	48879	20644	20351	12549	36093	33187	42869	45085	50496	54830	4691	7023	9986
K00058	40	17	4	1	21	161	3	54	14	84	31	0	11	18	0	17	0	52	78	36
K00059	0	20	0	0	11	58	3	0	14	17	1	0	2	5	3	11	20	2	42	49
K00060	1	0	3	1	4	0	0	1	1	0	0	0	5	0	0	0	1	1	4	0
K00061	3	9	0	18	25	0	0	20	22	0	0	1	19	14	10	6	0	6	40	0
K00064	162705	144229	92614	140544	42003	55139	39212	164647	96254	58886	167677	122109	25725	176835	67479	70336	160299	111141	102270	27125
K00065	3	0	1	7	0	8	13	5	2	3	2	0	1	0	6	0	6	6	8	1
K00066	0	3	22	1	47	47	8	1	4	40	1	0	0	6	24	4	18	0	22	20
K00067	12929	8737	23873	54274	11091	9144	28352	10578	36080	4705	50801	21304	42293	34438	2552	15474	22099	29130	16175	11918
K00068	306	20	344	1	14	267	75	245	178	35	767	83	805	286	607	121	202	17	1	77
K00069	0	0	3	1	3	0	0	0	0	0	2	0	0	1	8	2	0	0	6	1
K00070	63	31	50	30	19	0	7	0	6	6	58	11	102	213	33	16	56	3	73	28
K00071	16	9	85	11	50	31	37	39	66	6	272	42	523	0	174	0	35	386	4	405
K00072	754	127	1168	102	644	1696	670	1212	638	1543	254	2059	1081	412	98	70	89	819	194	249
K00073	196	82	27	1	180	228	198	88	124	14	66	168	48	296	110	206	946	1	9	172
K00074	0	18	0	0	3	0	20	4	0	0	0	2	18	1	2	3	8	1	10	1
K00075	266	110	1	0	37	65	34	2	8	9	59	187	25	148	79	54	158	14	28	33
K00077	226	238	51	206	267	99	0	120	15	8	103	10	66	15	0	189	23	110	32	122
K00078	11	20	4	29	0	7	0	19	13	0	83	45	15	3	8	1	0	38	2	3
K00079	176	12	7	104	122	0	176	289	89	63	49	62	29	82	57	122	17	66	28	114
K00081	3	37	0	29	32	101	0	92	34	110	5	53	27	59	25	58	15	48	1	3
K00082	0	87	3	33	1	0	38	3	13	2	0	62	33	2	2	0	13	0	15	182
K00083	1	3	10	9	5	36	11	2	4	36	39	0	132	10	53	48	330	37	4	925
K00084	32959	40547	201516	25250	29144	18047	62284	11604	89243	89107	33337	12975	9312	54679	63544	63312	52623	86685	16120	36906
K00086	61432	25887	21949	25287	34814	26117	16862	19526	2658	10711	89655	12697	5780	87586	24741	47056	103246	30935	56780	8635
K00087	1	0	0	0	0	0	0	0	4	1	0	0	1	2	0	1	0	4	0	0
K00088	1028	4024	7488	4965	8983	4013	15177	3977	4418	9545	10749	1287	3726	8646	139	832	4711	2736	2768	14182
K00089	189	44	15	37	90	77	8	39	1	157	130	12	9	0	7	4	69	272	63	0
K00090	5971	13558	13208	16466	20694	2032	33549	7577	3413	5286	17450	4913	4857	20693	9110	3559	15721	14023	6279	2802
K00093	174	2	3	107	114	63	1	10	54	66	516	17	123	12	9	0	78	0	16	2
K00094	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	1
K00096	10	861	1727	1384	3131	535	50	2599	4171	5258	2756	795	875	2088	1456	1806	1096	2275	1575	773
K00097	359	91	0	14	55	53	65	110	66	0	1	68	128	34	1	122	48	13	5	3
K00099	4256	1310	306	3143	5554	3824	56	5543	2097	198	1919	1151	492	511	135	3140	110	1491	528	445
K00101	153	249	360	458	172	35	1695	465	341	290	1688	377	1756	1022	20	1833	1075	1171	751	379
K00102	3	0	0	1	3	0	0	0	0	9	0	0	0	0	3	34	4	12	2	0
K00103	1391	1733	16	1443	79	4537	2745	279	1022	2989	3065	1213	378	1056	794	2238	1873	3074	3459	468
K00104	18	992	858	1	344	237	188	925	361	68	611	1437	770	369	102	273	372	408	40	496
K00105	498	4704	1773	848	969	5218	1554	318	1528	154	4785	381	367	480	2105	46	4522	3288	1312	1776
K00106	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	2
K00108	4567	5420	249	1166	2705	430	334	459	893	63	3957	4769	3149	86	2947	2174	603	4712	840	1620
K00109	96	464	388	199	41	91	171	76	266	62	153	150	52	90	9	420	204	436	116	65
K00111	1772	1127	5898	3384	1378	944	402	5402	1578	2594	4671	635	8048	7785	5451	4410	9276	317	1071	3184
K00112	1	0	0	0	1	0	0	0	0	0	1	6	5	8	0	4	0	0	4	0
K00113	5881	14209	9471	19604	6952	1339	10186	22644	9552	13059	15786	16780	3133	8235	670	6348	30445	2715	6437	53476
K00114	20089	31237	66157	45687	36428	19487	85984	7181	29025	93661	35668	17311	47278	10331	32779	92592	31151	29114	38485	31692
K00115	2196	2777	1703	869	1519	3860	491	217	2653	3480	3757	426	151	441	733	2393	925	748	941	763
K00116	364	197	196	439	280	335	9	120	74	260	93	6	441	394	52	47	105	77	816	355
K00117	1652	749	65	8	720	3	412	109	545	354	70	317	443	432	686	840	189	775	359	45
K00121	0	61	73	42	6	3	103	20	9	17	3	47	76	20	52	53	0	1	29	17
K00122	834	774	3808	1803	6924	2260	2434	21	3466	1262	945	904	698	1634	3131	2587	4255	1794	3299	5593
K00123	1687	4477	7151	25041	10884	2426	4811	16224	6713	17346	2156	11202	7183	14657	10284	19087	12511	20165	16931	6518
K00124	123	0	278	284	1518	158	14	360	164	0	141	405	2	609	221	1293	934	192	109	76
K00125	64	4547	1015	2636	717	1177	1782	2342	3035	2920	6848	292	1417	820	12435	668	857	6094	731	5827
K00126	28	86	351	83	1	69	7	91	46	237	9	284	4	99	0	64	131	0	625	258
K00127	0	0	0	3	1	0	0	6	1	0	0	0	0	1	4	0	3	2	0	4
K00128	248	185	240	2	176	249	172	114	9	22	1	16	131	20	271	181	0	36	224	217
K00129	6	7	5	57	47	8	34	40	0	78	0	0	76	5	1	16	268	33	5	169
K00130	81	368	49	0	131	90	182	8	1	791	6	546	78	29	248	68	217	8	332	1263
K00131	20	165	1480	258	78	144	130	355	1796	3303	652	66	422	1495	992	391	384	1038	852	143
K00132	1	0	32	27	0	0	1	2	0	0	7	17	39	18	86	0	6	50	5	4
K00133	18	1131	476	1322	486	226	1495	803	601	1528	626	61	596	267	433	313	803	385	524	744
K00134	271	32	71	102	669	119	126	588	20	306	250	81	256	355	46	8	5	30	175	1
K00135	145929	8607	40000	41488	48947	144473	79925	62594	47784	62643	152909	69641	75283	93035	76209	82487	119751	59377	83680	296919
K00137	3811	4006	2547	12227	350	2426	2656	3417	2080	5858	6222	2162	10712	63	1868	4158	4657	2173	1181	8975
K00138	138	680	12	219	804	403	581	257	957	47	1257	109	314	54	34	117	80	150	1405	967
K00139	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K00140	7041	3259	6869	3813	91	2801	5923	9591	3654	10599	4342	2730	2539	3860	8933	2633	8449	270	2385	4760
K00141	4	1	0	40	0	8	0	0	0	15	15	1	39	0	0	34	2	22	2	55
K00143	1523	6247	2853	255	2017	4580	10595	580	4844	1358	1072	9771	2682	3331	1546	1694	8645	3313	209	1318
K00145	0	76	0	14	0	25	52	39	6	0	32	3	1	17	85	10	28	239	12	43
K00146	966	120	400	145	503	114	522	62	257	606	800	204	81	27	361	601	30	156	1603	1779
K00147	8148	5044	3378	1737	13431	1209	894	854	2699	2342	1154	966	10291	3136	6454	808	6035	14036	9712	7051
K00148	2	5	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	1	8
K00149	1268	897	17	1692	608	856	1457	66	373	88	22	1229	243	572	867	785	1349	508	196	130
K00150	1	24	0	37	1	67	2	6	18	17	59	3	35	6	18	26	3	3	14	2
K00151	748	127	1054	875	2974	24	442	509	2698	33	942	386	504	438	5	81	14	551	727	282
K00152	199	0	27	263	18	6	25	15	51	218	126	47	296	80	0	96	266	7	9	4
K00156	7	1	0	1	6	0	0	3	6	0	27	0	2	7	1	4	0	0	0	22
K00157	36	12	120	0	173	184	24	60	39	17	97	51	186	12	56	50	2	21	97	24
K00158	32	55	3	2	100	11	5	7	59	38	5	27	0	3	32	109	126	0	16	101
K00161	5	1	0	0	0	0	2	13	0	2	16	0	0	6	2	7	2	0	3	0
K00162	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	4	0	0	1
K00163	4	375	786	289	1211	11	659	9	126	2806	354	1221	281	48	2843	87	194	28	202	102
K00164	34918	33483	21039	60643	28126	24332	40882	22242	12858	56466	28158	73463	69518	25404	84910	34558	39578	39621	21785	93542
K00166	55984	43995	16513	43165	37198	84482	19908	17711	20250	18233	53269	8709	36649	19504	33190	1793	32092	76910	104110	11689
K00167	319	711	73	1285	3610	247	93	7390	914	4598	14232	7742	293	3025	4516	1492	509	9603	3682	1739
K00169	0	0	0	3	0	2	0	5	0	0	0	0	1	0	0	0	4	2	0	0
K00170	1	1	0	4	36	0	3	0	8	7	10	13	4	3	24	3	0	0	7	115
K00171	817	1012	127	143	2917	291	290	525	423	1343	849	298	148	1971	1521	50	2362	222	2146	454
K00172	80	664	190	132	723	1462	19	38	516	2437	1524	3633	1455	515	1192	1253	159	3393	304	397
K00174	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
K00175	0	1	4	7	1	1	3	1	3	7	1	0	1	4	2	6	8	1	7	2
K00176	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
K00177	0	27	22	27	35	0	0	3	1	0	65	18	0	8	213	33	0	19	0	0
K00181	142	246	122	752	76	50	568	183	113	96	66	187	912	77	108	91	432	522	635	233
K00182	96415	28784	34191	21176	5734	34095	67127	115767	49817	23910	12147	44213	55834	37213	33796	66391	67437	52248	27430	34960
K00186	90	330	178	382	21	53	1089	380	118	548	57	769	18	443	156	35	75	151	582	47
K00187	0	1	0	0	12	2	0	4	13	32	23	16	0	0	6	0	2	6	0	1
K00188	205	728	166	188	281	83	164	20	121	139	32	223	1237	95	20	671	440	483	89	66
K00189	81804	67652	100849	61030	82617	35542	68274	5255	42090	40988	34567	18403	156900	62008	56457	35839	105492	25258	22889	52210
K00192	3707	23061	280	1387	7657	644	1632	3257	720	5145	9217	998	5625	4466	5644	11540	948	606	43	162
K00193	5064	3814	2410	2059	182	2740	2482	1147	143	4738	3587	3951	11896	1045	7885	6291	41	796	4424	1488
K00194	751	2170	502	2342	4251	3636	676	67	2652	3331	779	273	3373	71	3635	422	381	1094	1937	2224
K00195	13024	16848	1228	15471	3140	1572	11034	12021	4071	17870	43526	1278	14485	14043	14536	61056	2837	8553	62380	13966
K00196	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4
K00197	14	464	2	15	33	430	17	472	42	85	7	9	260	91	86	140	357	37	168	76
K00198	215	172	141	73	61	137	108	352	125	6	129	51	381	184	7	12	484	0	100	403
K00200	6	0	0	0	16	0	2	6	3	5	2	0	0	2	0	2	0	2	1	0
K00201	0	0	0	0	3	7	0	0	0	0	2	2	0	1	0	0	0	0	0	4
K00202	697	124	145	348	319	311	220	708	700	146	458	1663	2	159	223	431	0	171	193	583
K00203	1535	1358	5	15	102	1032	1577	17	1784	1000	2444	332	2936	560	391	222	623	277	1	184
K00204	1	2	1	3	0	1	25	0	7	2	1	0	0	0	0	0	9	0	6	1
K00205	6457	12549	31724	25436	4709	17718	5593	52914	3806	11378	16798	12498	9000	21542	29139	3243	14863	10342	5350	10661
K00207	249	95	232	371	155	887	23	285	304	336	323	7	569	68	130	662	114	29	101	549
K00208	1558	1724	160	248	291	97	748	89	250	500	1757	1138	17	543	426	44	434	457	1978	387
K00209	582	968	4882	5766	5179	9040	2585	2831	635	4640	3975	5418	27826	6070	10270	8250	3875	2232	2278	2457
K00210	307	198	64	79	34	133	194	2	24	532	379	380	189	19	168	132	91	72	321	5
K00211	0	0	1	1	8	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
K00212	50	71	13	162	18	7	2	135	41	3	171	29	92	156	41	83	111	77	326	46
K00213	8	3	41	3	4	18	10	12	37	59	0	0	0	10	0	0	0	0	32	0
K00214	0	0	4	0	0	2	0	0	0	12	0	5	0	0	2	0	4	0	0	0
K00215	0	134	322	355	191	429	47	8	99	309	3	50	149	1381	136	18	18	103	475	189
K00216	4008	214	188	2488	6127	7542	2491	2735	1888	856	10425	8907	2654	12134	4229	13270	6149	1633	9225	3488
K00217	0	2	0	2	0	3	0	0	0	1	0	0	1	0	0	1	0	1	0	0
K00218	16663	21294	40388	34142	6157	25829	31221	73439	54365	50883	26332	45558	63631	27393	39668	33874	35371	46978	67078	59313
K00220	1	1	14	29	0	0	75	11	29	64	0	0	1	21	13	11	1	1	4	38
K00222	0	3	0	21	0	0	3	1	6	0	7	3	13	0	2	1	1	1	4	3
K00223	4	64	40	4	2	1	11	3	15	0	25	140	4	6	47	0	164	169	109	22
K00225	303	314	1866	1458	58	361	642	2541	59	86	9871	2570	1955	4162	1915	2607	4680	1834	6025	2842
K00226	50931	16186	10607	30583	23928	73305	10751	20804	21818	19194	18826	46590	22176	35020	28985	70777	12586	28681	24809	72184
K00227	3112	1239	4014	14971	3267	9971	10093	1527	11777	541	5946	2475	1786	1081	140	4999	1143	635	2472	16665
K00228	42	0	0	3	5	90	12	8	4	5	5	38	1	0	8	53	11	2	0	0
K00230	10942	16463	52733	70253	52067	79252	7124	35622	34091	121190	41898	91150	44926	30783	111272	85576	50066	45093	44664	34393
K00231	51	257	200	110	320	112	259	843	938	260	96	593	165	967	343	1392	956	20	668	28
K00232	0	0	5	1	0	3	8	0	0	0	4	2	0	0	1	0	3	0	4	0
K00234	5906	12795	11652	1781	4060	4354	604	12692	5077	1840	5002	3106	1734	2695	658	9320	3973	1928	5356	3438
K00235	0	46	37	7	37	1	5	22	61	2	23	17	87	1	0	4	0	1	11	0
K00236	1864	6475	890	1569	56	0	566	823	46	1151	0	1245	1096	605	341	343	271	271	2602	2977
K00237	1	3	0	4	0	0	0	0	0	1	3	1	11	0	0	0	1	0	0	0
K00239	1	3	3	9	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
K00240	34	78	51	238	27	32	6	39	0	100	0	125	4	88	6	33	26	33	15	254
K00241	28831	45259	38274	58857	37075	50794	40246	51442	6987	39470	77476	19086	40784	91955	17411	60970	40402	58647	70845	33942
K00242	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	1	0	1
K00244	1	6	2	184	43	24	49	3	100	3	262	60	55	1	2	55	229	2	6	13
K00245	0	4	0	9	1	0	5	1	2	1	0	0	0	5	1	0	2	0	4	14
K00246	4	10	0	14	1	0	0	0	6	0	4	0	0	4	15	0	1	30	2	0
K00247	237	783	459	67	732	25	57	707	1086	112	312	384	606	209	352	599	203	494	489	1083
K00248	90885	56864	18655	36642	114410	20463	16091	47055	12238	49929	50994	84829	130171	66428	90003	22747	103649	42784	59827	120978
K00249	8473	137	3476	7550	351	4129	5597	2059	2510	3586	9042	9642	10787	1265	13406	3785	7839	5376	1148	6554
K00251	1	0	76	1	48	26	323	0	39	1	14	14	6	0	101	49	70	20	5	38
K00252	0	1	0	3	3	6	0	0	0	1	0	1	0	2	1	0	2	1	0	2
K00253	53276	27454	79062	86438	11356	77485	25697	71837	26483	21871	17376	40063	20605	16952	89771	10472	36902	26462	20514	69157
K00254	13	0	0	0	19	1	0	0	0	0	25	0	2	5	17	8	0	1	0	0
K00255	178	856	570	1496	165	951	92	851	151	1049	571	187	100	1370	696	193	382	47	301	668
K00259	55	1558	453	137	422	498	946	224	1151	1076	1871	162	63	709	467	23	1892	27	1675	96
K00260	69	527	31	31	217	417	5	205	297	226	378	15	98	130	261	97	371	17	14	78
K00261	8210	23493	13498	7968	61433	10946	30979	142903	57203	15994	35423	28934	60337	15481	29731	91254	18808	8413	14111	25849
K00262	96	1757	2300	2844	427	827	131	1233	345	445	983	33	1271	2377	1674	1705	305	995	225	758
K00263	1440	159	321	4968	5901	7036	969	3779	4824	8305	6912	9287	3157	718	864	441	237	1645	530	1355
K00264	11713	27434	48014	64387	54424	68719	10526	48293	14394	52030	74428	25807	4298	69016	24567	132701	41687	33091	23413	30015
K00265	11084	3168	1690	5327	3806	5238	497	2074	6817	1081	8432	471	1150	6	611	8986	129	4716	311	739
K00266	22	13	1	14	2	3	11	17	2	0	0	6	7	0	0	0	7	0	0	6
K00270	110	28	173	241	0	30	0	11	17	3	1	24	93	5	9	3	66	14	0	9
K00271	3496	20046	15068	11636	5791	36762	13333	17568	10358	11366	39202	14836	18393	22738	6738	9632	7016	12295	6367	5450
K00272	9646	4746	2499	3705	10661	7427	13972	3950	14510	11683	2505	8027	2416	1982	8498	15713	13148	6359	5195	7664
K00273	79481	82373	92832	92593	46535	36328	82797	76530	42748	65242	20748	147745	89796	75680	94094	93330	41704	34647	83680	126045
K00274	2879	16182	61618	6237	25451	110409	15669	36128	8661	8583	26619	34663	41814	77345	32755	5950	13233	72994	6359	33542
K00275	96617	15356	2817	3082	11259	5128	45439	7955	6978	5247	69093	26282	11473	919	44368	28824	16206	7168	9073	9080
K00276	216	1249	275	29	240	142	221	1411	282	201	2337	868	819	464	1464	60	395	954	52	735
K00278	27406	32499	18571	48565	83584	33287	32113	71486	44051	29435	47962	33917	19065	14251	35311	95547	74591	52714	31084	15433
K00279	0	9	18	3	0	3	0	0	1	0	28	13	1	4	0	3	2	3	4	1
K00281	213	203	1419	3373	6240	296	1238	8094	3501	1288	1662	3283	1065	971	597	883	652	911	2191	8591
K00282	555	733	622	331	955	35	586	30	316	150	170	2394	40	704	363	747	257	122	162	230
K00283	467	1	0	180	68	2	138	2	33	45	75	1116	38	2	73	41	26	9	519	9
K00284	5079	442	64	168	828	839	1456	1713	657	2478	201	36	241	555	1334	263	14	582	398	595
K00285	155	291	237	1	68	0	103	100	292	96	421	183	52	23	734	249	1219	15	22	297
K00286	81	26	136	254	245	1009	149	169	119	322	819	22	256	310	295	83	240	533	229	551
K00287	3	2	0	10	0	0	0	7	8	0	1	3	0	0	0	0	0	3	0	0
K00288	44556	147019	82691	86214	85712	55364	16745	50995	104055	33864	52526	77678	149340	94951	163673	30733	16224	36923	71263	101663
K00289	13117	7210	6747	4626	14861	6225	10191	11794	7099	24531	6216	8729	2944	1208	35447	23668	1860	20682	35030	19208
K00290	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	2	0	0	0
K00291	103	167	1103	55	929	1490	218	20	1856	1047	48	203	30	546	218	203	598	383	27	153
K00292	1	78	206	6	10	51	206	18	8	92	10	22	58	433	300	46	103	28	50	7
K00293	1236	1468	1912	5139	649	6527	2785	7270	4480	645	2678	5153	1752	463	6229	441	7017	2112	3936	1160
K00294	112	668	288	266	1132	190	51	3072	1151	216	38	1578	2384	323	810	795	3906	564	489	335
K00295	3018	3262	5001	502	2337	3586	8071	1708	3119	2140	1777	5511	272	834	1415	3654	5474	2531	1387	1047
K00296	1012	403	555	117	233	23	886	579	1442	17	397	210	328	597	468	1872	1115	41	17	144
K00297	0	3	46	0	9	7	56	6	48	5	0	13	0	2	0	0	33	8	15	2
K00299	20280	17196	20533	1546	12037	18922	34760	16555	28684	7612	16451	9296	29892	17718	23231	33318	86509	13935	29120	23711
K00301	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0
K00302	5240	1933	9541	11258	6242	8696	541	6044	2403	6755	15401	2503	2651	48994	9350	4210	16708	25984	19431	4091
K00303	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0
K00304	2	1	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
K00305	8610	400	5131	10411	15672	10009	11834	27363	2346	16166	3745	6654	5083	11254	7554	4087	24759	3403	7931	2499
K00306	26016	21375	31116	40593	40617	34698	35466	4822	23438	24927	42966	9781	16478	39829	7230	27382	4239	24665	38672	16962
K00307	9983	21267	7329	2434	3458	18467	2518	58437	15344	31997	9270	10946	5955	23546	10090	8804	6700	11003	10154	35276
K00308	0	4	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0
K00310	0	0	1	0	16	0	0	2	4	8	33	10	4	0	0	0	6	2	1	0
K00312	332	104	75	41	79	4	348	22	400	177	188	162	133	284	129	158	221	117	69	160
K00314	1666	945	2220	176	3655	11346	645	15373	4689	2249	1257	3678	1836	1230	447	4539	3907	4502	545	4856
K00315	124298	50253	99532	11600	122991	99437	24701	138346	25871	83918	102409	134552	74251	121745	22285	69978	166075	212011	252673	165374
K00316	4	0	0	1	0	0	4	0	0	0	1	1	0	0	2	0	0	2	6	1
K00317	266	223	465	606	2797	2321	463	7906	3206	86	920	1998	4144	3510	2129	905	1566	1793	264	786
K00318	10	54	64	3	0	127	2	15	109	11	40	0	0	13	96	6	103	10	42	0
K00319	960	1584	519	3562	3199	627	1592	18	2114	945	1469	5860	88	2139	4765	1982	2822	852	1542	11483
K00320	15	4	0	7	0	1	2	1	0	0	9	0	2	4	0	0	0	3	0	0
K00322	0	1	0	0	3	0	5	1	3	0	18	1	0	5	3	1	0	0	0	0
K00323	69423	30616	51375	77839	45561	23402	55322	18092	121364	40078	274885	32280	166685	29623	47132	61533	18719	20213	16458	12579
K00324	2324	140	24274	12439	1635	5727	1095	7697	251	4065	3182	6446	3545	4850	333	10657	2050	6473	17060	1384
K00325	0	0	0	0	0	0	2	1	0	6	0	2	6	1	5	1	1	0	1	2
K00326	427	24	117	211	70	546	649	28	670	609	457	1949	168	105	129	134	705	585	89	2644
K00328	13048	9096	114808	70086	77199	44813	42300	53500	28063	22526	106755	55042	73956	48464	18873	27106	13586	62349	12805	109814
K00329	2	0	2	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0
K00330	14	10	0	54	0	12	47	22	12	11	0	1	344	4	104	79	137	62	17	25
K00331	1	0	0	1	0	9	0	0	0	0	18	25	1	0	0	2	3	14	0	2
K00332	0	0	0	0	3	0	3	0	1	0	0	1	2	0	0	3	0	1	0	0
K00333	9	40	7	2	0	16	6	0	0	4	5	28	10	2	3	0	3	10	34	0
K00334	152429	138464	58417	25552	178734	42424	18891	72787	190385	85720	124283	16953	52109	117266	77736	89855	84560	76248	175755	69822
K00335	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	2	0	6	0
K00336	0	0	13	0	0	0	1	0	1	13	1	1	15	0	4	0	1	8	0	0
K00337	70	138	0	223	17	39	168	72	7	19	77	27	52	81	0	20	37	61	176	27
K00338	1972	841	3473	1143	2685	58	3254	2041	2553	4710	8205	5318	5132	1411	124	2327	1318	1227	556	2923
K00339	65	59	79	47	541	8	256	22	38	51	4	0	27	0	2	32	253	58	13	0
